Satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
0,Male,Loyal Customer,48,Personal Travel,Eco Plus,1201,1,0,0,1,5,0,5,5,5,5,4,4,5,5,0,0
0,Male,Loyal Customer,30,Personal Travel,Eco,1582,1,0,0,3,1,0,1,1,2,4,3,5,1,1,0,2
0,Male,Loyal Customer,19,Personal Travel,Eco,1737,1,0,0,4,1,0,1,1,4,4,5,3,5,1,0,0
0,Male,Loyal Customer,13,Personal Travel,Eco,1351,1,0,0,4,5,0,5,5,5,2,5,4,4,5,4,2
0,Male,Loyal Customer,31,Personal Travel,Eco,1109,1,0,0,4,4,0,4,4,3,3,4,3,4,4,0,0
0,Male,Loyal Customer,60,Personal Travel,Eco,3434,1,0,1,1,2,1,2,2,3,3,4,3,4,2,14,11
0,Male,Loyal Customer,70,Personal Travel,Eco,2193,1,0,1,1,4,1,4,4,4,2,5,5,4,4,38,32
0,Male,Loyal Customer,25,Personal Travel,Eco,2356,1,0,1,1,1,1,5,1,5,4,5,3,4,1,0,13
0,Male,Loyal Customer,47,Personal Travel,Eco,2421,1,0,1,1,4,1,4,4,3,4,4,5,4,4,0,0
0,Male,Loyal Customer,24,Personal Travel,Eco,1802,1,0,1,1,4,1,4,4,5,5,4,5,4,4,0,0
0,Male,Loyal Customer,9,Personal Travel,Eco,1668,1,0,1,1,4,1,4,4,4,5,1,5,1,4,0,
0,Male,Loyal Customer,29,Personal Travel,Eco,1565,1,0,1,1,5,1,5,5,5,3,5,5,5,5,0,0
0,Male,Loyal Customer,47,Personal Travel,Business,365,1,0,1,1,4,4,5,3,3,1,3,3,3,4,0,0
0,Male,Loyal Customer,39,Personal Travel,Eco,955,1,0,1,1,1,1,4,1,4,3,4,5,5,1,12,0
0,Male,Loyal Customer,48,Personal Travel,Eco Plus,1518,1,0,1,1,5,1,5,5,3,3,3,4,4,5,0,0
0,Male,Loyal Customer,40,Personal Travel,Eco,1098,1,0,1,1,1,1,1,1,4,5,5,4,4,1,0,1
0,Male,Loyal Customer,18,Personal Travel,Business,3046,1,0,1,2,3,1,2,3,4,5,5,5,5,3,13,15
0,Male,Loyal Customer,26,Personal Travel,Eco,3345,1,0,1,2,1,1,1,1,3,2,5,5,5,1,0,3
