BALANCE,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,FULL_PAYMENT
41,95,0,95,0,0,2,1000,202,140,12,0
3202,0,0,0,6443,4,0,7000,4103,1072,12,0
2495,773,773,0,0,0,12,7500,622,627,12,0
1667,1499,1499,0,206,1,1,7500,0,,12,0
818,16,16,0,0,0,1,1200,678,245,12,0
1810,1333,0,1333,0,0,8,1800,1400,2407,12,0
627,7091,6403,688,0,0,64,13500,6354,198,12,1
1824,436,0,436,0,0,12,2300,679,532,12,0
1015,861,661,200,0,0,5,7000,688,312,12,0
152,1282,1282,0,0,0,3,11000,1165,100,12,0
1293,920,0,920,0,0,12,1200,1083,2173,12,0
631,1492,1492,0,0,0,6,2000,706,156,12,0
1517,3218,2500,718,0,0,26,3000,608,490,12,0
922,2138,420,1718,0,0,26,7500,1656,251,12,0
2773,0,0,0,347,1,0,3000,806,990,12,0
6886,1612,0,1612,2301,4,11,8000,1993,2110,12,0
2072,0,0,0,2784,3,0,3000,392,377,8,0
41,519,0,519,0,0,8,2500,255,73,12,0
1989,504,166,338,0,0,9,13000,1721,745,12,0
3578,399,0,399,0,0,12,4000,1054,12466,12,0
2017,177,0,177,0,0,8,2000,223,13557,12,0
6370,6360,5910,450,229,6,92,11250,2078,1660,12,0
132,816,0,816,0,0,17,1800,2360,86,12,0
3800,4248,3455,794,7974,13,13,9000,9479,1425,12,0
5369,0,0,0,799,4,0,6000,1423,1657,11,0
170,400,0,400,0,0,12,3000,215,163,12,0
1616,102,102,0,245,5,2,1700,890,971,12,0
126,233,0,233,0,0,12,1000,208,165,12,0
7153,387,205,183,2236,16,8,10500,1601,1649,12,0
22,100,0,100,0,0,5,6900,161,160,12,0
12136,3038,1013,2025,3184,10,64,13000,4230,3292,12,0
1162,1348,400,948,176,2,45,6000,646,257,12,0
6733,325,325,0,1190,3,3,10500,1720,2507,12,0
126,637,637,0,0,0,11,1200,423,196,12,0
3517,547,0,547,0,0,14,11000,8736,17863,12,0
1656,0,0,0,99,1,0,1800,352,635,12,0
7427,0,0,0,8873,11,0,9000,1636,1987,11,0
4047,2381,1642,738,1698,7,41,5000,1618,1541,12,0
6269,204,204,0,2926,12,2,9000,1237,2049,12,0
1412,963,963,0,6174,6,6,7500,20071,720,12,0
663,0,0,0,3133,3,0,1800,3067,283,12,0
785,1527,786,740,2188,11,27,3000,1262,363,12,0
4105,204,204,0,0,0,1,4500,868,1801,12,0
1361,0,0,0,1482,1,0,1500,378,321,12,0
5316,1525,470,1056,0,0,20,8500,1430,1319,12,0
2242,437,97,340,185,2,5,2400,0,,12,0
474,110,0,110,1014,1,3,1700,176,147,8,0
3910,0,0,0,1981,7,0,4200,0,,12,0
230,2391,1403,988,0,0,87,3300,2544,176,12,1
864,508,508,0,695,2,3,4000,588,286,12,0
4931,901,646,255,8531,37,9,12000,8113,1012,8,0
1079,3108,2222,886,0,0,18,2500,1400,1322,12,0
1566,0,0,0,321,3,0,3500,692,581,12,0
465,1979,1979,0,1981,1,11,3000,3110,132,9,0
7,310,0,310,0,0,8,1000,417,,12,0
1312,1284,1284,0,0,0,6,6000,0,,12,0
3625,313,313,0,668,5,4,4000,0,,12,0
2386,5218,4789,429,0,0,42,7500,5679,1312,12,0
3971,0,0,0,225,3,0,4000,765,1600,11,0
5494,229,0,229,971,4,6,6000,2111,1895,12,0
1879,113,113,0,0,0,2,6500,3510,548,12,0
1556,66,66,0,0,0,1,1600,338,837,12,0
810,0,0,0,3820,7,0,4150,4372,242,11,0
7,840,840,0,0,0,1,1600,0,,12,0
1924,1888,0,1888,1606,4,61,1850,3688,3267,12,0
1758,412,325,87,0,0,11,1800,777,898,12,0
