GrossSpread,MarketValue,OfferPrice,Shares_offered,Syndicated,Num_underwriters,Day1Perf
740600,672,48,1150000,0,3,1
16351563,647,18,12500000,0,10,1
11765149,475,10,23157895,0,5,1
877675,29,5,1888888,0,1,1
1045781,427,8,1875000,0,2,1
54978000,693,70,14875000,0,5,1
16875000,625,25,25000000,0,7,1
4060000,2059,8,7250000,1,4,1
7107716,399,11,9230800,1,4,1
1750000,4271,10,2500000,1,3,1
5007093,560,7,11004600,1,4,1
2520000,301,12,3000000,0,3,1
6238750,2635,12,7750000,1,3,1
19808250,2086,17,17150000,0,4,1
2173500,221,12,4500000,0,3,1
31875000,2648,17,31250000,1,6,1
29997000,2349,17,30300000,1,6,1
5040000,374,16,4500000,0,5,1
4200000,263,12,5000000,1,3,1
5642000,81,13,6200000,1,3,1
3500000,175,10,5000000,1,4,1
9240000,1622,11,12000000,1,3,1
5390000,345,10,7700000,1,5,1
11050000,673,17,10000000,0,10,1
8276375,501,14,11750000,0,3,1
13125000,1443,13,15000000,1,10,1
8820000,1406,21,6000000,1,3,1
4200000,2147,10,6000000,1,3,1
6300000,357,10,9000000,0,4,1
280000,65,5,800000,0,3,1
6985300,250,9,11740000,1,5,1
11137500,464,11,15000000,0,7,1
675000,24,5,1500000,0,6,1
1932000,70,6,4600000,0,3,1
8960000,870,16,8000000,1,6,1
16446080,2556,16,14684000,1,6,1
10500000,3000,13,12000000,0,2,1
8820000,1105,15,8400000,1,7,1
6087944,87,10,8697063,0,4,1
3577204,413,11,6364000,0,4,1
4774000,213,10,6820000,1,6,1
2502000,115,7,6000000,1,2,1
5481000,357,15,5400000,1,3,1
2352000,8272,8,4200000,1,4,1
9884000,319,14,10000000,0,5,1
2802800,143,3,15400000,0,5,1
16520000,321,16,22600000,0,2,1
3430000,178,14,3500000,0,2,1
1344000,231,8,2400000,1,4,1
5652500,78,10,8500000,1,3,1
3831800,2293,14,3400000,1,3,1
63360000,2372,32,36000000,1,15,1
3850000,134,10,5500000,0,3,1
2800000,97,5,8000000,0,4,1
800000,560,4,4000000,1,2,1
7560000,388,14,8000000,1,4,1
4287500,993,7,8750000,1,4,1
5684000,669,14,5800000,1,3,1
840000,102,4,3000000,0,1,1
1575000,72,10,2250000,0,2,1
6000000,150,6,20000000,0,4,1
3323250,175,9,5000000,1,4,1
7035000,101,15,6700000,0,8,1
4312000,320,14,4400000,1,4,1
3325075,412,10,4874012,0,3,1
2940000,901,42,6000000,1,3,1
2800000,164,10,4000000,1,4,1
4921875,374,15,4687500,1,5,1
787500,43,8,1000000,0,1,1
176075651,81247,38,421233615,1,33,1
3780000,105,10,5400000,0,3,1
4375000,343,13,5000000,0,3,1
5452650,439,14,5770000,1,4,1
2576000,1091,8,4000000,1,1,1
2025000,75,8,7500000,0,4,1
19475668,89922,43,9058450,1,6,1
5250000,334,15,5000000,1,5,1
